Ag;200
Al;68799.5292271479
As;260
Au;7
B;330
Ba;427
Be;490
Bi;320
Ca;52887.3038516405
Cd;160
Ce;414
Co;380
Cr;400
Cs;310
Cu;380
Dy;524
Er;595
Eu;410
Fe;98718.8587334725
Ga;490
Gd;514
Ge;320
Hf;395
Ho;501
In;370
Ir;120
K;21583.864118896
La;392
Li;430
Lu;518
Mg;21108
Mn;590
Mo;390
Na;28932.2362052275
Nb;420
Nd;453
Ni;440
P;70
Pb;378
Pr;460
Pt;30
Rb;356
Re;78.9
Sb;450
Sc;530
Se;20
Si;251028.956565152
Sm;488
Sn;280
Sr;447
Ta;390
Tb;480
Th;380
Ti;449.5117065231
Tl;2
Tm;500
U;420
V;440
W;430
Y;410
Yb;520
Zn;460
Zr;410
